Produkt-Typ (Rohr),Produkt-Norm (Rohr),Herstellungsart,Nennweite (DN),Nennweite (Zoll),Wandstärke (mm),Schedule,Außendurchmesser (mm),Innendurchmesser (mm),Fugenform,Oberfläche,Lieferzustand,Werkstoffnummer,DIN/EN-Bezeichnung,Stahlsorte,Handelsname,UNS-Nummer,Gussnummer,Werkstoff Norm,Zulassungen,Ursprung
,,,,,,,,,,,,,,Grade UNS K11625,,,,,,
,,,,,,,,,,,,,,Type UNS K11625,,,,,,
,,,,,,,,,,,,,,UNS K11625,,,,,,
,,,,,,,,,,,,,,Grade Type UNS K11576,,,,,,
,,,,,,,,,,,,,,Grade UNS K11576,,,,,,
,,,,,,,,,,,,,,Type UNS K11576,,,,,,
,,,,,,,,,,,,,,UNS K11576,,,,,,
,,,,,,,,,,,,,,Grade Type UNS K11523,,,,,,
,,,,,,,,,,,,,,Grade UNS K11523,,,,,,
,,,,,,,,,,,,,,Type UNS K11523,,,,,,
,,,,,,,,,,,,,,UNS K11523,,,,,,
,,,,,,,,,,,,,,Grade Type UNS K11511,,,,,,
,,,,,,,,,,,,,,Grade UNS K11511,,,,,,
,,,,,,,,,,,,,,Type UNS K11511,,,,,,
,,,,,,,,,,,,,,Grade Type UNS K02204,,,,,,
,,,,,,,,,,,,,,Grade UNS K02204,,,,,,
,,,,,,,,,,,,,,Type UNS K02204,,,,,,
,,,,,,,,,,,,,,UNS K02204,,,,,,
,,,,,,,,,,,,,,Grade Type UNS K02001,,,,,,
,,,,,,,,,,,,,,Grade UNS K02001,,,,,,
,,,,,,,,,,,,,,Type UNS K02001,,,,,,
,,,,,,,,,,,,,,UNS K02001,,,,,,
,,,,,,,,,,,,,,Type F ,,,,,,
,,,,,,,,,,,,,,Grade Type H,,,,,,
,,,,,,,,,,,,,,Grade H,,,,,,
,,,,,,,,,,,,,,Type H,,,,,,
,,,,,,,,,,,,,,H,,,,,,
,,,,,,,,,,,,,,Grade Type Q,,,,,,
,,,,,,,,,,,,,,Grade Q,,,,,,
,,,,,,,,,,,,,,Type Q,,,,,,
,,,,,,,,,,,,,,Q,,,,,,
,,,,,,,,,,,,,,"Grade Type 8, Grade 80",,,,,,
,,,,,,,,,,,,,,"Grade 8, Grade 80",,,,,,
,,,,,,,,,,,,,,"Type 8, Grade 80",,,,,,
,,,,,,,,,,,,,,"8, Grade 80",,,,,,
,,,,,,,,,,,,,,"Grade Type 100, Type F",,,,,,
,,,,,,,,,,,,,,"Grade 100, Type F",,,,,,
,,,,,,,,,,,,,,"Type 100, Type F",,,,,,
,,,,,,,,,,,,,,"100, Type F",,,,,,
,,,,,,,,,,,,,,"Grade Type 100, Type H",,,,,,
,,,,,,,,,,,,,,"Grade 100, Type H",,,,,,
,,,,,,,,,,,,,,"Type 100, Type H",,,,,,
,,,,,,,,,,,,,,"100, Type H",,,,,,
,,,,,,,,,,,,,,"Grade Type 100, Type Q",,,,,,
,,,,,,,,,,,,,,"Grade 100, Type Q",,,,,,
,,,,,,,,,,,,,,"Type 100, Type Q",,,,,,
,,,,,,,,,,,,,,"100, Type Q",,,,,,
,,,,,,,,,,,,,,Grade Type HPS 100W,,,,,,
,,,,,,,,,,,,,,Grade HPS 100W,,,,,,
,,,,,,,,,,,,,,Type HPS 100W,,,,,,
,,,,,,,,,,,,,,HPS 100W,,,,,,
,,,,,,,,,,,,,,"Grade Type 100, Type B",,,,,,
,,,,,,,,,,,,,,"Grade 100, Type B",,,,,,
,,,,,,,,,,,,,,"Type 100, Type B",,,,,,
,,,,,,,,,,,,,,"100, Type B",,,,,,
,,,,,,,,,,,,,,"Grade Type 100, Type E",,,,,,
,,,,,,,,,,,,,,"Grade 100, Type E",,,,,,
,,,,,,,,,,,,,,"Type 100, Type E",,,,,,
,,,,,,,,,,,,,,"100, Type E",,,,,,
,,,,,,,,,,,,,,Grade Type X60Q,,,,,,
,,,,,,,,,,,,,,Grade X60Q,,,,,,
,,,,,,,,,,,,,,Type X60Q,,,,,,
,,,,,,,,,,,,,,X60Q,,,,,,
,,,,,,,,,,,,,,Grade Type X52Q,,,,,,
,,,,,,,,,,,,,,Grade X52Q,,,,,,
,,,,,,,,,,,,,,Type X52Q,,,,,,
,,,,,,,,,,,,,,X52Q,,,,,,
,,,,,,,,,,,,,,Grade Type X65Q,,,,,,
,,,,,,,,,,,,,,Grade X65Q,,,,,,
,,,,,,,,,,,,,,Type X65Q,,,,,,
,,,,,,,,,,,,,,X65Q,,,,,,
,,,,,,,,,,,,,,Grade Type F65Q,,,,,,
,,,,,,,,,,,,,,Grade F65Q,,,,,,
,,,,,,,,,,,,,,Type F65Q,,,,,,
,,,,,,,,,,,,,,F65Q,,,,,,
,,,,,,,,,,,,,,Grade Type X70Q,,,,,,
,,,,,,,,,,,,,,Grade X70Q,,,,,,
,,,,,,,,,,,,,,Type X70Q,,,,,,
,,,,,,,,,,,,,,X70Q,,,,,,
,,,,,,,,,,,,,,Grade Type WPHY70,,,,,,
,,,,,,,,,,,,,,Grade WPHY70,,,,,,
,,,,,,,,,,,,,,Type WPHY70,,,,,,
,,,,,,,,,,,,,,WPHY70,,,,,,
,,,,,,,,,,,,,,Grade Type X70,,,,,,
,,,,,,,,,,,,,,Grade X70,,,,,,
,,,,,,,,,,,,,,Type X70,,,,,,
,,,,,,,,,,,,,,X70,,,,,,
,,,,,,,,,,,,,,Grade Type F70,,,,,,
,,,,,,,,,,,,,,Grade F70,,,,,,
,,,,,,,,,,,,,,Type F70,,,,,,
,,,,,,,,,,,,,,F70,,,,,,
,,,,,,,,,,,,,,Grade Type F70Q,,,,,,
,,,,,,,,,,,,,,Grade F70Q,,,,,,
,,,,,,,,,,,,,,Type F70Q,,,,,,
,,,,,,,,,,,,,,F70Q,,,,,,
,,,,,,,,,,,,,,Grade Type X80Q,,,,,,
,,,,,,,,,,,,,,Grade X80Q,,,,,,
,,,,,,,,,,,,,,Type X80Q,,,,,,
,,,,,,,,,,,,,,X80Q,,,,,,
,,,,,,,,,,,,,,Grade Type UNS K12043,,,,,,
,,,,,,,,,,,,,,Grade UNS K12043,,,,,,
,,,,,,,,,,,,,,Type UNS K12043,,,,,,
,,,,,,,,,,,,,,UNS K12043,,,,,,
,,,,,,,,,,,,,,Grade Type UNS K11538,,,,,,
,,,,,,,,,,,,,,Grade UNS K11538,,,,,,
,,,,,,,,,,,,,,Type UNS K11538,,,,,,
,,,,,,,,,,,,,,UNS K11538,,,,,,
,,,,,,,,,,,,,,Grade Type UNS K11430,,,,,,
,,,,,,,,,,,,,,Grade UNS K11430,,,,,,
,,,,,,,,,,,,,,Type UNS K11430,,,,,,
,,,,,,,,,,,,,,UNS K11430,,,,,,
,,,,,,,,,,,,,,Grade Type UNS K02601,,,,,,
,,,,,,,,,,,,,,Grade UNS K02601,,,,,,
,,,,,,,,,,,,,,Type UNS K02601,,,,,,
,,,,,,,,,,,,,,UNS K02601,,,,,,
,,,,,,,,,,,,,,Grade Type X56,,,,,,
,,,,,,,,,,,,,,Grade X56,,,,,,
,,,,,,,,,,,,,,Type X56,,,,,,
,,,,,,,,,,,,,,X56,,,,,,
,,,,,,,,,,,,,,Grade X60 ,,,,,,
,,,,,,,,,,,,,,Type X60 ,,,,,,
,,,,,,,,,,,,,,X60 ,,,,,,
,,,,,,,,,,,,,,Grade Type WPHY60,,,,,,
,,,,,,,,,,,,,,Grade WPHY60 ,,,,,,
,,,,,,,,,,,,,,Type WPHY60 ,,,,,,
,,,,,,,,,,,,,,WPHY60,,,,,,
,,,,,,,,,,,,,,Grade Type F60Q,,,,,,
,,,,,,,,,,,,,,Grade F60Q,,,,,,
,,,,,,,,,,,,,,Type F60Q,,,,,,
,,,,,,,,,,,,,,F60Q,,,,,,
,,,,,,,,,,,,,,Grade Type X65,,,,,,
,,,,,,,,,,,,,,Grade X65 ,,,,,,
,,,,,,,,,,,,,,Type X65 ,,,,,,
,,,,,,,,,,,,,,X65 ,,,,,,
,,,,,,,,,,,,,,Grade 65 ,,,,,,
,,,,,,,,,,,,,,Grade F65 ,,,,,,
,,,,,,,,,,,,,,Type F65 ,,,,,,
,,,,,,,,,,,,,,Grade Type WPHY65,,,,,,
,,,,,,,,,,,,,,Grade WPHY65,,,,,,
,,,,,,,,,,,,,,Type WPHY65,,,,,,
,,,,,,,,,,,,,,WPHY65,,,,,,
,,,,,,,,,,,,,,Grade Type WPHYX70,,,,,,
,,,,,,,,,,,,,,Grade WPHYX70 ,,,,,,
,,,,,,,,,,,,,,Type WPHYX70 ,,,,,,
,,,,,,,,,,,,,,WPHYX70,,,,,,
,,,,,,,,,,,,,,Grade Type X70 ,,,,,,
,,,,,,,,,,,,,,Grade X70 ,,,,,,
,,,,,,,,,,,,,,Type X70 ,,,,,,
,,,,,,,,,,,,,,Grade Type UNS C35300,,,,,,
,,,,,,,,,,,,,,Grade UNS C35300,,,,,,
,,,,,,,,,,,,,,Type UNS C35300,,,,,,
,,,,,,,,,,,,,,UNS C35300,,,,,,
,,,,,,,,,,,,,,Grade Type UNS C35330,,,,,,
,,,,,,,,,,,,,,Grade UNS C35330,,,,,,
,,,,,,,,,,,,,,Type UNS C35330,,,,,,
,,,,,,,,,,,,,,UNS C35330,,,,,,
,,,,,,,,,,,,,,Grade Type UNS C36000,,,,,,
,,,,,,,,,,,,,,Grade UNS C36000,,,,,,
,,,,,,,,,,,,,,Type UNS C36000,,,,,,
,,,,,,,,,,,,,,UNS C36000,,,,,,
,,,,,,,,,,,,,,Grade Type UNS C37000,,,,,,
,,,,,,,,,,,,,,Grade UNS C37000,,,,,,
,,,,,,,,,,,,,,Type UNS C37000,,,,,,
,,,,,,,,,,,,,,UNS C37000,,,,,,
,,,,,,,,,,,,,,Grade Type UNS C27700,,,,,,
,,,,,,,,,,,,,,Grade UNS C27700,,,,,,
,,,,,,,,,,,,,,Type UNS C27700,,,,,,
,,,,,,,,,,,,,,UNS C27700,,,,,,
,,,,,,,,,,,,,,Grade Type UNS C67400,,,,,,
,,,,,,,,,,,,,,Grade UNS C67400,,,,,,
,,,,,,,,,,,,,,Type UNS C67400,,,,,,
,,,,,,,,,,,,,,UNS C67400,,,,,,
,,,,,,,,,,,,,,Grade Type UNS C70200,,,,,,
,,,,,,,,,,,,,,Grade UNS C70200,,,,,,
,,,,,,,,,,,,,,Type UNS C70200,,,,,,
,,,,,,,,,,,,,,UNS C70200,,,,,,
,,,,,,,,,,,,,,Grade Type UNS C70500,,,,,,
,,,,,,,,,,,,,,Grade UNS C70500,,,,,,
,,,,,,,,,,,,,,Type UNS C70500,,,,,,
,,,,,,,,,,,,,,UNS C70500,,,,,,
,,,,,,,,,,,,,,Grade Type UNS C70700,,,,,,
,,,,,,,,,,,,,,Grade UNS C70700,,,,,,
,,,,,,,,,,,,,,Type UNS C70700,,,,,,
,,,,,,,,,,,,,,UNS C70700,,,,,,
,,,,,,,,,,,,,,Grade Type UNS C72150,,,,,,
,,,,,,,,,,,,,,Grade UNS C72150,,,,,,
,,,,,,,,,,,,,,Type UNS C72150,,,,,,
,,,,,,,,,,,,,,UNS C72150,,,,,,
,,,,,,,,,,,,,,Grade Type CuNi70-30,,,,,,
,,,,,,,,,,,,,,Grade CuNi70-30,,,,,,
,,,,,,,,,,,,,,Type CuNi70-30,,,,,,
,,,,,,,,,,,,,,CuNi70-30,,,,,,
,,,,,,,,,,,,,,Grade Type Cunifer 30,,,,,,
,,,,,,,,,,,,,,Grade Cunifer 30,,,,,,
,,,,,,,,,,,,,,Type Cunifer 30,,,,,,
,,,,,,,,,,,,,,Cunifer 30,,,,,,
,,,,,,,,,,,,,,Grade Type Copper Nickel C715,,,,,,
,,,,,,,,,,,,,,Grade Copper Nickel C715,,,,,,
,,,,,,,,,,,,,,Type Copper Nickel C715,,,,,,
,,,,,,,,,,,,,,Copper Nickel C715,,,,,,
,,,,,,,,,,,,,,Grade Type UNS C70600,,,,,,
,,,,,,,,,,,,,,Grade UNS C70600,,,,,,
,,,,,,,,,,,,,,Type UNS C70600,,,,,,
,,,,,,,,,,,,,,UNS C70600,,,,,,
,,,,,,,,,,,,,,Grade Type Cunifer 10,,,,,,
,,,,,,,,,,,,,,Grade Cunifer 10,,,,,,
,,,,,,,,,,,,,,Type Cunifer 10,,,,,,
,,,,,,,,,,,,,,Cunifer 10,,,,,,
,,,,,,,,,,,,,,Grade Type CuNi90-10,,,,,,
,,,,,,,,,,,,,,Grade CuNi90-10,,,,,,
,,,,,,,,,,,,,,Type CuNi90-10,,,,,,
,,,,,,,,,,,,,,CuNi90-10,,,,,,
,,,,,,,,,,,,,,Grade Type Copper Nickel C706,,,,,,
,,,,,,,,,,,,,,Grade Copper Nickel C706,,,,,,
,,,,,,,,,,,,,,Type Copper Nickel C706,,,,,,
,,,,,,,,,,,,,,Copper Nickel C706,,,,,,
,,,,,,,,,,,,,,Grade Type UNS C71000,,,,,,
,,,,,,,,,,,,,,Grade UNS C71000,,,,,,
,,,,,,,,,,,,,,Type UNS C71000,,,,,,
,,,,,,,,,,,,,,UNS C71000,,,,,,
,,,,,,,,,,,,,,Grade Type Cunifer 20,,,,,,
,,,,,,,,,,,,,,Grade Cunifer 20,,,,,,
,,,,,,,,,,,,,,Type Cunifer 20,,,,,,
,,,,,,,,,,,,,,Cunifer 20,,,,,,
,,,,,,,,,,,,,,Grade Type UNS N02222,,,,,,
,,,,,,,,,,,,,,Grade UNS N02222,,,,,,
,,,,,,,,,,,,,,Type UNS N02222,,,,,,
,,,,,,,,,,,,,,UNS N02222,,,,,,
,,,,,,,,,,,,,,Grade Type 222,,,,,,
,,,,,,,,,,,,,,Grade 222,,,,,,
,,,,,,,,,,,,,,Type 222,,,,,,
,,,,,,,,,,,,,,222,,,,,,
,,,,,,,,,,,,,,Grade Type Nickel 222,,,,,,
,,,,,,,,,,,,,,Grade Nickel 222,,,,,,
,,,,,,,,,,,,,,Nickel 222,,,,,,
,,,,,,,,,,,,,,N02270,,,,,,
,,,,,,,,,,,,,,Grade Type UNS N02270,,,,,,
,,,,,,,,,,,,,,Grade UNS N02270,,,,,,
,,,,,,,,,,,,,,Type UNS N02270,,,,,,
,,,,,,,,,,,,,,UNS N02270,,,,,,
,,,,,,,,,,,,,,Grade Type Nickel 200,,,,,,
,,,,,,,,,,,,,,Grade Nickel 200,,,,,,
,,,,,,,,,,,,,,Type Nickel 200,,,,,,
,,,,,,,,,,,,,,Nickel 200,,,,,,
,,,,,,,,,,,,,,Grade Type 200,,,,,,
,,,,,,,,,,,,,,Grade 200,,,,,,
,,,,,,,,,,,,,,Type 200,,,,,,
,,,,,,,,,,,,,,200,,,,,,
,,,,,,,,,,,,,,Grade Type Nickel 205,,,,,,
,,,,,,,,,,,,,,Grade Nickel 205,,,,,,
,,,,,,,,,,,,,,Type Nickel 205,,,,,,
,,,,,,,,,,,,,,Nickel 205,,,,,,
,,,,,,,,,,,,,,Grade Type UNS N02200,,,,,,
,,,,,,,,,,,,,,Grade UNS N02200,,,,,,
,,,,,,,,,,,,,,Type UNS N02200,,,,,,
,,,,,,,,,,,,,,UNS N02200,,,,,,
,,,,,,,,,,,,,,Grade Type 205,,,,,,
,,,,,,,,,,,,,,Grade 205,,,,,,
,,,,,,,,,,,,,,Type 205,,,,,,
,,,,,,,,,,,,,,205,,,,,,
,,,,,,,,,,,,,,N02200,,,,,,
,,,,,,,,,,,,,,Grade Type UNS N02233,,,,,,
,,,,,,,,,,,,,,Grade UNS N02233,,,,,,
,,,,,,,,,,,,,,Type UNS N02233,,,,,,
,,,,,,,,,,,,,,UNS N02233,,,,,,
,,,,,,,,,,,,,,Grade Type Nickel 233,,,,,,
,,,,,,,,,,,,,,Grade Nickel 233,,,,,,
,,,,,,,,,,,,,,Type Nickel 233,,,,,,
,,,,,,,,,,,,,,Nickel 233,,,,,,
,,,,,,,,,,,,,,Grade Type Alloy 233,,,,,,
,,,,,,,,,,,,,,Grade Alloy 233,,,,,,
,,,,,,,,,,,,,,Type Alloy 233,,,,,,
,,,,,,,,,,,,,,Alloy 233,,,,,,
,,,,,,,,,,,,,,N02233,,,,,,
,,,,,,,,,,,,,,Grade Type UNS N02205,,,,,,
,,,,,,,,,,,,,,Grade UNS N02205,,,,,,
,,,,,,,,,,,,,,Type UNS N02205,,,,,,
,,,,,,,,,,,,,,UNS N02205,,,,,,
,,,,,,,,,,,,,,N02205,,,,,,
,,,,,,,,,,,,,,Grade Type UNS N02201,,,,,,
,,,,,,,,,,,,,,Grade UNS N02201,,,,,,
,,,,,,,,,,,,,,Type UNS N02201,,,,,,
,,,,,,,,,,,,,,UNS N02201,,,,,,
,,,,,,,,,,,,,,N02201,,,,,,
,,,,,,,,,,,,,,Grade Type Alloy 200,,,,,,
,,,,,,,,,,,,,,Grade Alloy 200,,,,,,
,,,,,,,,,,,,,,Type Alloy 200,,,,,,
,,,,,,,,,,,,,,Alloy 200,,,,,,
,,,,,,,,,,,,,,Grade Type Alloy 201,,,,,,
,,,,,,,,,,,,,,Grade Alloy 201,,,,,,
,,,,,,,,,,,,,,Type Alloy 201,,,,,,
,,,,,,,,,,,,,,Alloy 201,,,,,,
,,,,,,,,,,,,,,Grade Type Nickel 201,,,,,,
,,,,,,,,,,,,,,Grade Nickel 201,,,,,,
,,,,,,,,,,,,,,Type Nickel 201,,,,,,
,,,,,,,,,,,,,,Nickel 201,,,,,,
,,,,,,,,,,,,,,Grade Type UNS N02212,,,,,,
,,,,,,,,,,,,,,Grade UNS N02212,,,,,,
,,,,,,,,,,,,,,Type UNS N02212,,,,,,
,,,,,,,,,,,,,,UNS N02212,,,,,,
,,,,,,,,,,,,,,Grade Type Alloy 212,,,,,,
,,,,,,,,,,,,,,Grade Alloy 212,,,,,,
,,,,,,,,,,,,,,Type Alloy 212,,,,,,
,,,,,,,,,,,,,,Alloy 212,,,,,,
,,,,,,,,,,,,,,Grade Type Nickel 212,,,,,,
,,,,,,,,,,,,,,Grade Nickel 212,,,,,,
,,,,,,,,,,,,,,Type Nickel 212,,,,,,
,,,,,,,,,,,,,,Nickel 212,,,,,,
,,,,,,,,,,,,,,N02212,,,,,,
,,,,,,,,,,,,,,Grade Type UNS N02211,,,,,,
,,,,,,,,,,,,,,Grade UNS N02211,,,,,,
,,,,,,,,,,,,,,Type UNS N02211,,,,,,
,,,,,,,,,,,,,,UNS N02211,,,,,,
,,,,,,,,,,,,,,Grade Type Nickel 211,,,,,,
,,,,,,,,,,,,,,Grade Nickel 211,,,,,,
,,,,,,,,,,,,,,Type Nickel 211,,,,,,
,,,,,,,,,,,,,,Nickel 211,,,,,,
,,,,,,,,,,,,,,N02211,,,,,,
,,,,,,,,,,,,,,Grade Type UNS N02061,,,,,,
,,,,,,,,,,,,,,Grade UNS N02061,,,,,,
,,,,,,,,,,,,,,Type UNS N02061,,,,,,
,,,,,,,,,,,,,,UNS N02061,,,,,,
,,,,,,,,,,,,,,Grade Type Alloy FM 61,,,,,,
,,,,,,,,,,,,,,Grade Alloy FM 61,,,,,,
,,,,,,,,,,,,,,Type Alloy FM 61,,,,,,
,,,,,,,,,,,,,,Alloy FM 61,,,,,,
,,,,,,,,,,,,,,Grade Type Nickel S9604,,,,,,
,,,,,,,,,,,,,,Grade Nickel S9604,,,,,,
,,,,,,,,,,,,,,Type Nickel S9604,,,,,,
,,,,,,,,,,,,,,Nickel S9604,,,,,,
,,,,,,,,,,,,,,Grade Type UNS N04400,,,,,,
,,,,,,,,,,,,,,Grade UNS N04400,,,,,,
,,,,,,,,,,,,,,Type UNS N04400,,,,,,
,,,,,,,,,,,,,,UNS N04400,,,,,,
,,,,,,,,,,,,,,Grade Type Alloy 400,,,,,,
,,,,,,,,,,,,,,Grade Alloy 400,,,,,,
,,,,,,,,,,,,,,Type Alloy 400,,,,,,
,,,,,,,,,,,,,,Alloy 400,,,,,,
,,,,,,,,,,,,,,Grade Type 400,,,,,,
,,,,,,,,,,,,,,Grade 400,,,,,,
,,,,,,,,,,,,,,Type 400,,,,,,
,,,,,,,,,,,,,,400,,,,,,
,,,,,,,,,,,,,,Grade Type Monel 400,,,,,,
,,,,,,,,,,,,,,Grade Monel 400,,,,,,
,,,,,,,,,,,,,,Type Monel 400,,,,,,
,,,,,,,,,,,,,,Monel 400,,,,,,
,,,,,,,,,,,,,,N04400,,,,,,
,,,,,,,,,,,,,,Grade Type Alloy 400LC,,,,,,
,,,,,,,,,,,,,,Grade Alloy 400LC,,,,,,
,,,,,,,,,,,,,,Type Alloy 400LC,,,,,,
,,,,,,,,,,,,,,Alloy 400LC,,,,,,
,,,,,,,,,,,,,,Grade Type Alloy 400L,,,,,,
,,,,,,,,,,,,,,Grade Alloy 400L,,,,,,
,,,,,,,,,,,,,,Type Alloy 400L,,,,,,
,,,,,,,,,,,,,,Alloy 400L ,,,,,,
,,,,,,,,,,,,,,Grade Type 400LC,,,,,,
,,,,,,,,,,,,,,Grade 400LC,,,,,,
,,,,,,,,,,,,,,Type 400LC,,,,,,
,,,,,,,,,,,,,,400LC,,,,,,
,,,,,,,,,,,,,,Grade Type 400L,,,,,,
,,,,,,,,,,,,,,Grade 400L,,,,,,
,,,,,,,,,,,,,,Type 400L,,,,,,
,,,,,,,,,,,,,,400L ,,,,,,
,,,,,,,,,,,,,,N04402,,,,,,
,,,,,,,,,,,,,,Grade Type UNS N04405,,,,,,
,,,,,,,,,,,,,,Grade UNS N04405,,,,,,
,,,,,,,,,,,,,,Type UNS N04405,,,,,,
,,,,,,,,,,,,,,UNS N04405,,,,,,
,,,,,,,,,,,,,,Grade Type Alloy R-405,,,,,,
,,,,,,,,,,,,,,Grade Alloy R-405,,,,,,
,,,,,,,,,,,,,,Type Alloy R-405,,,,,,
,,,,,,,,,,,,,,Alloy R-405,,,,,,
,,,,,,,,,,,,,,Grade Type Alloy 405,,,,,,
,,,,,,,,,,,,,,Grade Alloy 405,,,,,,
,,,,,,,,,,,,,,Type Alloy 405,,,,,,
,,,,,,,,,,,,,,Alloy 405,,,,,,
,,,,,,,,,,,,,,N04405,,,,,,
,,,,,,,,,,,,,,Grade Type UNS N04060,,,,,,
,,,,,,,,,,,,,,Grade UNS N04060,,,,,,
,,,,,,,,,,,,,,Type UNS N04060,,,,,,
,,,,,,,,,,,,,,UNS N04060,,,,,,
,,,,,,,,,,,,,,Grade Type CW 60,,,,,,
,,,,,,,,,,,,,,Grade Alloy CW 60,,,,,,
,,,,,,,,,,,,,,Type Alloy CW 60,,,,,,
,,,,,,,,,,,,,,Alloy CW 60,,,,,,
,,,,,,,,,,,,,,N04060,,,,,,
,,,,,,,,,,,,,,Monel S,,,,,,
,,,,,,,,,,,,,,Grade Type UNS N05500,,,,,,
,,,,,,,,,,,,,,Grade UNS N05500,,,,,,
,,,,,,,,,,,,,,Type UNS N05500,,,,,,
,,,,,,,,,,,,,,UNS N05500,,,,,,
,,,,,,,,,,,,,,Grade Type Alloy K-500,,,,,,
,,,,,,,,,,,,,,Grade Alloy K-500,,,,,,
,,,,,,,,,,,,,,Type Alloy K-500,,,,,,
,,,,,,,,,,,,,,Alloy K-500,,,,,,
,,,,,,,,,,,,,,Grade Type Monel 500,,,,,,
,,,,,,,,,,,,,,Grade Monel 500,,,,,,
,,,,,,,,,,,,,,Type Monel 500,,,,,,
,,,,,,,,,,,,,,Monel 500,,,,,,
,,,,,,,,,,,,,,N05500,,,,,,
,,,,,,,,,,,,,,Grade Type Alloy FM 60,,,,,,
,,,,,,,,,,,,,,Grade Alloy FM 60,,,,,,
,,,,,,,,,,,,,,Type Alloy FM 60,,,,,,
,,,,,,,,,,,,,,Alloy FM 60,,,,,,
,,,,,,,,,,,,,,Grade Type Alloy 55,,,,,,
,,,,,,,,,,,,,,Grade Alloy 55,,,,,,
,,,,,,,,,,,,,,Type Alloy 55,,,,,,
,,,,,,,,,,,,,,Alloy 55,,,,,,
,,,,,,,,,,,,,,Grade Type UNS N14052,,,,,,
,,,,,,,,,,,,,,Grade UNS N14052,,,,,,
,,,,,,,,,,,,,,Type UNS N14052,,,,,,
,,,,,,,,,,,,,,UNS N14052,,,,,,
,,,,,,,,,,,,,,Grade Type Alloy 51,,,,,,
,,,,,,,,,,,,,,Grade Alloy 51,,,,,,
,,,,,,,,,,,,,,Type Alloy 51,,,,,,
,,,,,,,,,,,,,,Alloy 51,,,,,,
,,,,,,,,,,,,,,Grade Type 51,,,,,,
,,,,,,,,,,,,,,Grade 51,,,,,,
,,,,,,,,,,,,,,Type 51,,,,,,
,,,,,,,,,,,,,,51,,,,,,
,,,,,,,,,,,,,,Grade Type Alloy 52,,,,,,
,,,,,,,,,,,,,,Grade Alloy 52,,,,,,
,,,,,,,,,,,,,,Type Alloy 52,,,,,,
,,,,,,,,,,,,,,Alloy 52,,,,,,
,,,,,,,,,,,,,,Grade Type 52,,,,,,
,,,,,,,,,,,,,,Grade 52,,,,,,
,,,,,,,,,,,,,,Type 52,,,,,,
,,,,,,,,,,,,,,Grade Type UNS N14080,,,,,,
,,,,,,,,,,,,,,Grade UNS N14080,,,,,,
,,,,,,,,,,,,,,Type UNS N14080,,,,,,
,,,,,,,,,,,,,,UNS N14080,,,,,,
,,,,,,,,,,,,,,Grade Type Alloy 7904,,,,,,
,,,,,,,,,,,,,,Grade Alloy 7904,,,,,,
,,,,,,,,,,,,,,Type Alloy 7904,,,,,,
,,,,,,,,,,,,,,Alloy 7904,,,,,,
,,,,,,,,,,,,,,Grade Type Alloy 4,,,,,,
,,,,,,,,,,,,,,Grade Alloy 4,,,,,,
,,,,,,,,,,,,,,Type Alloy 4,,,,,,
,,,,,,,,,,,,,,Alloy 4,,,,,,
,,,,,,,,,,,,,,Grade Type UNS W82002,,,,,,
,,,,,,,,,,,,,,Grade UNS W82002,,,,,,
,,,,,,,,,,,,,,Type UNS W82002,,,,,,
,,,,,,,,,,,,,,UNS W82002,,,,,,
,,,,,,,,,,,,,,Grade Type Alloy CW 55,,,,,,
,,,,,,,,,,,,,,Grade Alloy CW 55,,,,,,
,,,,,,,,,,,,,,Type Alloy CW 55,,,,,,
,,,,,,,,,,,,,,Alloy CW 55,,,,,,
,,,,,,,,,,,,,,Grade Type UNS N10675,,,,,,
,,,,,,,,,,,,,,Grade UNS N10675,,,,,,
,,,,,,,,,,,,,,Type UNS N10675,,,,,,
,,,,,,,,,,,,,,UNS N10675,,,,,,
,,,,,,,,,,,,,,Grade Type Alloy B3,,,,,,
,,,,,,,,,,,,,,Grade Alloy B3,,,,,,
,,,,,,,,,,,,,,Type Alloy B3,,,,,,
,,,,,,,,,,,,,,Alloy B3,,,,,,
,,,,,,,,,,,,,,N10675,,,,,,
,,,,,,,,,,,,,,Grade Type Alloy B4,,,,,,
,,,,,,,,,,,,,,Grade Alloy B4,,,,,,
,,,,,,,,,,,,,,Type Alloy B4,,,,,,
,,,,,,,,,,,,,,Alloy B4,,,,,,
,,,,,,,,,,,,,,Grade Type UNS N10629,,,,,,
,,,,,,,,,,,,,,Grade UNS N10629,,,,,,
,,,,,,,,,,,,,,Type UNS N10629,,,,,,
,,,,,,,,,,,,,,UNS N10629,,,,,,
,,,,,,,,,,,,,,Grade Type Alloy C22,,,,,,
,,,,,,,,,,,,,,Grade Alloy C22,,,,,,
,,,,,,,,,,,,,,Type Alloy C22,,,,,,
,,,,,,,,,,,,,,Alloy C22,,,,,,
,,,,,,,,,,,,,,Grade Type C22,,,,,,
,,,,,,,,,,,,,,Grade C22,,,,,,
,,,,,,,,,,,,,,Type C22,,,,,,
,,,,,,,,,,,,,,C22,,,,,,
,,,,,,,,,,,,,,Grade Type UNS N06022,,,,,,
,,,,,,,,,,,,,,Grade UNS N06022,,,,,,
,,,,,,,,,,,,,,Type UNS N06022,,,,,,
,,,,,,,,,,,,,,UNS N06022,,,,,,
,,,,,,,,,,,,,,Grade Type UNS N06030,,,,,,
